state,state_abb,fips,year,year_frac,law_class,law_class_subtype,handguns_or_long_guns,age_for_minimum_age_laws,length_of_waiting_period_days_handguns,additional_context_and_notes,discrepancies,law_id
Arizona,AZ,04,2024,0,background checks,sales from dealer,handgun and long gun,NA,NA,"

If the Brady Handgun Violence Protection Act (P.L. 103-159) is repealed or if there is a final determination by a court of competent jurisdiction that the Brady Handgun Violence Protection Act is unconstitutional, this section is repealed.

  A. By October 1, 1994 the department of public safety shall establish an instant background check system to determine whether purchases, sales or transfers of handguns to any person violate any federal law or any law of this state prohibiting the possession of handguns.",NA,AZ1002
Arizona,AZ,04,2024,1,background checks,sales from dealer,long gun,NA,NA,NA,NA,AZ1004
Arizona,AZ,04,2024,0,carrying a concealed weapon (ccw),prohibited,handgun,NA,NA,"Prior law prohibting concealed carry enacted before 1966. Carl Bakal, ""The Right to Bear Arms.""",NA,AZ1005
Arizona,AZ,04,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,AZ1006
Arizona,AZ,04,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,NA,NA,AZ1007
Arizona,AZ,04,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,AZ1008
Arizona,AZ,04,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,AZ1009
Arizona,AZ,04,2024,1,minimum age,youth possession,handgun,18,NA,NA,NA,AZ1012
Arizona,AZ,04,2024,1,minimum age,purchase and sale,long gun,18,NA,Ariz. Rev. Stat. § 1-215(21) defines minor as under 18.,NA,AZ1014
Arizona,AZ,04,2024,1,minimum age,youth possession,long gun,18,NA,NA,NA,AZ1022
Arizona,AZ,04,2024,1,minimum age,purchase and sale,handgun,18,NA,Ariz. Rev. Stat. § 1-215(21) defines minor as under 18.,NA,AZ1023
Arizona,AZ,04,2024,0,prohibited possessor,mental health : committed to mh facility,handgun and long gun,NA,NA,"Prohibition ends when court ordered treatment has been terminated by court order. In 2014, law amended to include commitments after criminal trial.",NA,AZ1025
Arizona,AZ,04,2024,1,prohibited possessor,mental health : committed to mh facility : outpatient,handgun and long gun,NA,NA,NA,NA,AZ1026
Arizona,AZ,04,2024,0,prohibited possessor,dvro,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to bar the defendant from owning, possessing, or purchasing firearms.",NA,AZ1027
Arizona,AZ,04,2024,1,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,NA,NA,"For danger to self/others or grave disbility, right to possess a firearm may be restored pursuant to § 13-925.",NA,AZ1029
Arizona,AZ,04,2024,1,prohibited possessor,dvro ex parte : expanded,handgun and long gun,NA,NA,"In 2009, Arizona adopted “Kaity’s Law,”  which extended this definition to include situations where the victim and the defendant are, or were previously, in a significant romantic or sexual relationship, as determined by a set of factors.",NA,AZ1030
Arizona,AZ,04,2024,1,prohibited possessor,mental health : committed to mh facility,handgun and long gun,NA,NA,"For those found incompetent, they may ""subsequently be found competent..""",NA,AZ1031
Arizona,AZ,04,2024,1,background checks,sales from dealer,handgun,NA,NA,NA,NA,AZ1037
Arizona,AZ,04,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,AZ1038
Arizona,AZ,04,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,AZ1039
Arizona,AZ,04,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,AZ1045
Arizona,AZ,04,2024,0,waiting period,federal,handgun,NA,5,"In general, the waiting period applies only in states without an acceptable alternate system of conducting background checks on handgun purchasers.",NA,AZ1046
Arizona,AZ,04,2024,1,waiting period,federal,handgun,NA,NA,"The interim provisions of the Brady Law became effective on February 28, 1994, and ceased to apply on  10/1/1994  because Arizona implemented instant background check system.  Luca et al. says Arizona waiting period law ceased due to ARS  § 13-3114, but only renumbered in 1998.  Was initially passed as ARS  § 13-3108.01.",NA,AZ1047
Arizona,AZ,04,2024,1,firearm removal at scene of domestic violence,authorized,handgun and long gun,NA,NA,NA,NA,AZ1049
Arizona,AZ,04,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,"Amended in 2016 to provide further sanctions: fines, firing of officials, and civil liability.

Exceptions: G. This section does not prohibit a political subdivision of this state from enacting and enforcing any ordinance or rule pursuant to state law or relating to any of the following:

1. Imposing any privilege or use tax on the retail sale, lease or rental of, or the gross proceeds or gross income from the sale, lease or rental of, firearms or ammunition or any firearm or ammunition components at a rate that applies generally to other items of tangible personal property.

2. Prohibiting a minor who is unaccompanied by a parent, grandparent or guardian or a certified hunter safety instructor or certified firearms safety instructor acting with the consent of the minor's parent, grandparent or guardian from knowingly possessing or carrying on the minor's person, within the minor's immediate control or in or on a means of transportation a firearm in any place that is open to the public or on any street or highway or on any private property except private property that is owned or leased by the minor or the minor's parent, grandparent or guardian.",NA,AZ1051
Arizona,AZ,04,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,NA,NA,AZ1054
Arizona,AZ,04,2024,1,local laws preempted by state,comprehensive - punitive,handgun and long gun,NA,NA,"1. Imposing any privilege or use tax on the retail sale, lease or rental of, or the gross proceeds or gross income from the sale, lease or rental of, firearms or ammunition or any firearm or ammunition components at a rate that applies generally to other items of tangible personal property.",NA,AZ1055
Arizona,AZ,04,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,AZ1056
Arizona,AZ,04,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,"2. Prohibiting a minor who is unaccompanied by a parent, grandparent or guardian or a certified hunter safety instructor or certified firearms safety instructor acting with the consent of the minor's parent, grandparent or guardian from knowingly possessing or carrying on the minor's person, within the minor's immediate control or in or on a means of transportation a firearm in any place that is open to the public or on any street or highway or on any private property except private property that is owned or leased by the minor or the minor's parent, grandparent or guardian.",NA,AZ1057
Arizona,AZ,04,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,AZ1058
Arizona,AZ,04,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,NA,NA,AZ1059
Arizona,AZ,04,2024,1,prohibited possessor,dvro ex parte,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to bar the defendant from owning, possessing, or purchasing firearms.",NA,AZ1060
California,CA,06,2024,1,background checks,private sales : point of sale,long gun,NA,NA,NA,NA,CA1001
California,CA,06,2024,0,background checks,sales from dealer,handgun,NA,NA,Original citation was Cal. Penal Code § 12076,NA,CA1003
California,CA,06,2024,0,background checks,sales from dealer,long gun,NA,NA,NA,NA,CA1004
California,CA,06,2024,0,background checks,sales from dealer,long gun,NA,NA,NA,NA,CA1005
California,CA,06,2024,0,carrying a concealed weapon (ccw),may issue,handgun,NA,NA,NA,NA,CA1007
California,CA,06,2024,1,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,CA1008
California,CA,06,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,"See Catalfamo (2007), p. 509.",NA,CA1009
California,CA,06,2024,1,child access laws,negligent storage,handgun and long gun,NA,NA,"Citation originally Cal Pen Code § 12035(b),(d), reorganized in 2010 to Cal Pen § 25100; amended in 2013 to add 3rd degree (loaded firearm kept on premises, etc., regardless of whether a child accessed firearm or not); amended in 2013 to also include persons prohibiting from possessing firearm, in addition to children; amended in 2019 to include injury to the person improperly keeping firearm, in addition to others.",NA,CA1011
California,CA,06,2024,1,dealer license,state license requirement,long gun,NA,NA,NA,NA,CA1013
California,CA,06,2024,1,firearm sales restrictions,assault weapons ban,long gun,NA,NA,"List of banned weapons in Cal. Penal Code § 30510, and banned features in Cal. Penal Code § 30515.",NA,CA1014
California,CA,06,2024,1,firearm sales restrictions,saturday night special ban,handgun,NA,NA,NA,NA,CA1015
California,CA,06,2024,1,minimum age,youth possession,handgun,18,NA,"Before 2012, section titled Cal. Penal Code § 12102. ""Minor"" defined by Cal. Fam. Code § 6500 as under 18..",NA,CA1017
California,CA,06,2024,0,minimum age,purchase and sale,handgun,18,NA,NA,Disagreement with Vernick and Hepburn (2003) about effective date and minimum age.,CA1020
California,CA,06,2024,1,minimum age,purchase and sale,handgun,21,NA,"Before 2012, reference was Cal. Penal Code §12072(a)(3)(A).","Disagreement with Vernick and Hepburn (2003) about year of enactment, age limit.",CA1022
California,CA,06,2024,1,firearm sales restrictions,one gun per month,handgun,NA,NA,NA,NA,CA1023
California,CA,06,2024,1,open carry,prohibited,handgun,NA,NA,"Exception in Cal. Penal Code §§ 26150, 26155: Where the population of the county is less than 200,000 persons according to the most recent federal decennial census, a license to carry loaded and exposed in only that county a pistol, revolver, or other firearm capable of being concealed upon the person.",NA,CA1025
California,CA,06,2024,0,open carry,limited : prohibited : loaded,long gun,NA,NA,NA,NA,CA1026
California,CA,06,2024,1,open carry,prohibited,long gun,NA,NA,NA,NA,CA1027
